Docket_Id,Comment_Id,Comment,Aspect,Annotator 1,Annotator 2,Annotator 3
FDA-2010-D-0277,FDA-2010-D-0277-0007,"I am urging the support of FDA 2010-D-0277-0005 to support efforts in protecting children and adolescents from the availability of the sale and distribution of cigaretts and smokeless tobacco products. As an oncology nurse working in research, too many children are now being exposed to the effects of tobacco at an early age. This will increase their likelihood of developing lung cancer at a much earlier age. I urge your support of this important iniative.",children and adolescents,Positive,Positive,Positive
FDA-2010-D-0277,FDA-2010-D-0277-0008,"The Family Smoking Prevention and Tobacco Control Act (commonly referred to as the 2009 FDA Law), restricts the distribution of â€œfree samples of cigarettes, smokeless tobacco, or other tobacco products.â€ Despite clear language defining â€œtobacco productsâ€ in a way that includes cigars and little cigars, the FDA recently released Draft Guidance for Industry, which says the law will not be applied to certain tobacco products, including cigars, little cigars, or pipe tobacco. This Guidance goes against the plain language of the 2009 FDA Law and creates a dangerous loophole in the restrictions on sampling. Our experience shows that young people are drawn to tobacco products that are flavored. Few 50 year old men want to smoke a cherry flavored cigar, yet these products are produced and can currently avoid the restrictions on sampling - this must change. Please close those dangerous loopholes!",law,Positive,Positive,Positive
FDA-2010-D-0277,FDA-2010-D-0277-0010,"As the director of a state tobacco control program, I would strongly urge the FDA's Center for Tobacco Products to fully enforce the restrictions against the free distribution of all tobacco products. This restriction should include cigars, little cigars, pipe tobacco and even the new dissolvable tobacco products. The evidence shows that commerical tobacco products are designed for addiction, which is a compelling reason to prohibit the free distribution of samples of these deadly products.",free distribution,Positive,Neutral,Positive
FDA-2010-D-0277,FDA-2010-D-0277-0011,"Please, for the protection, health and welfare of our children, free tobacco sampling must be on ALL tobacco products. Youth and children addiction happens much quicker than adults and all tobacco products are very much addicting!! Do the right thing - let's do all in our power to keep tobacco products (ALL products) out of the hands of children. Thank you.",children,Positive,Positive,Positive
FDA-2010-D-0277,FDA-2010-D-0277-0013,"Cigars, little cigars, and pipe tobacco can hook young people on tobacco products, all of which are detrimental to health. FDA-2010-D-0277-0005 should cover all tobacco products.",young people,Positive,Positive,Neutral
FDA-2010-D-0277,FDA-2010-D-0277-0014,"I am writing to ask the FDA to amend its â€œDraft Guidance for Industry: Compliance with Regulations Restricting the Sale and Distribution of Cigarettes and Smokeless Tobacco to Protect Children and Adolescentsâ€ to ensure that the law is applied to all tobacco products, not just to cigarettes and smokeless tobacco. (FDA Docket No. FDA-2010-D-0277).Studies have shown that tobacco companies target young peopleâ€”particularly those in collegeâ€”by distributing free samples of tobacco products to get them hooked on tobacco at a young age.",Sale and distribution,Positive,Positive,Positive
FDA-2010-D-0277,FDA-2010-D-0277-0015,"I am writing to ask the FDA to amend its â€œDraft Guidance for Industry: Compliance with Regulations Restricting the Sale and Distribution of Cigarettes and Smokeless Tobacco to Protect Children and Adolescentsâ€ to ensure that the law is applied to all tobacco products, not just to cigarettes and smokeless tobacco. (FDA Docket No. FDA-2010-D-0277).Studies have shown that tobacco companies target young peopleâ€”particularly those in collegeâ€”by distributing free samples of tobacco products to get them hooked on tobacco at a young age. (www.tobaccofreekids.org/research/factsheets/pdf/0135.pdf). The Family Smoking Prevention and Tobacco Control Act (Tobacco Control Act) created a regulation that bans the distribution of â€œfree samples of cigarettes, smokeless tobacco, or other tobacco productsâ€ with a limited exception for smokeless tobacco samples. 21 C.F.R. section 1140.16(d)(1) (emphasis added). This regulation is designed to protect young people from being enticed by ALL types of free tobacco samples.Cigars, little cigars, and pipe tobacco meet the definition of â€œother tobacco productâ€ provided in the regulation, and therefore sampling of those products is illegal under the Tobacco Control Act. However, the FDAâ€™s Draft Guidance for Industry says â€œthe regulations do not apply to cigars, little cigars or pipe tobaccoâ€ (page 3). This is clearly incorrect as to the regulation restricting free tobacco samples.All products that contain addictive substances should not be offered as samples. Consider the implications if teh pharmaceutical industry could offer samples of addictive medications!",Sale and distribution,Positive,Positive,Positive
FDA-2010-D-0277,FDA-2010-D-0277-0016,"I am writing to ask the FDA to amend its â€œDraft Guidance for Industry: Compliance with Regulations Restricting the Sale and Distribution of Cigarettes and Smokeless Tobacco to Protect Children and Adolescentsâ€ to ensure that the law is applied to all tobacco products, not just to cigarettes and smokeless tobacco. (FDA Docket No. FDA-2010-D-0277).Cigars, little cigars, and pipe tobacco meet the definition of â€œother tobacco productâ€ provided in the regulation, and therefore sampling of those products is illegal under the Tobacco Control Act. However, the FDAâ€™s Draft Guidance for Industry says â€œthe regulations do not apply to cigars, little cigars or pipe tobaccoâ€ (page 3). This is clearly incorrect as to the regulation restricting free tobacco samples.Because the language of the regulation banning free samples plainly applies to â€œother tobacco products,â€ including cigars, little cigars or pipe tobacco, the Draft Guidance for Industry should accurately reflect the language and intent of the regulation and make it clear that offering free samples of such products is illegal.",Sale and distribution,Positive,Positive,Positive
FDA-2010-D-0277,FDA-2010-D-0277-0017,"I am writing to ask the FDA to amend its â€œDraft Guidance for Industry: Compliance with Regulations Restricting the Sale and Distribution of Cigarettes and Smokeless Tobacco to Protect Children and Adolescentsâ€ to ensure that the law is applied to all tobacco products, not just to cigarettes and smokeless tobacco. (FDA Docket No. FDA-2010-D-0277).Studies have shown that tobacco companies target young peopleâ€”particularly those in collegeâ€”by distributing free samples of tobacco products to get them hooked on tobacco at a young age. (www.tobaccofreekids.org/research/factsheets/pdf/0135.pdf). The Family Smoking Prevention and Tobacco Control Act (Tobacco Control Act) created a regulation that bans the distribution of â€œfree samples of cigarettes, smokeless tobacco, or other tobacco productsâ€ with a limited exception for smokeless tobacco samples. 21 C.F.R. section 1140.16(d)(1) (emphasis added). This regulation is designed to protect young people from being enticed by ALL types of free tobacco samples.Cigars, little cigars, and pipe tobacco meet the definition of â€œother tobacco productâ€ provided in the regulation, and therefore sampling of those products is illegal under the Tobacco Control Act. However, the FDAâ€™s Draft Guidance for Industry says â€œthe regulations do not apply to cigars, little cigars or pipe tobaccoâ€ (page 3). This is clearly incorrect as to the regulation restricting free tobacco samples.Because the language of the regulation banning free samples plainly applies to â€œother tobacco products,â€ including cigars, little cigars or pipe tobacco, the Draft Guidance for Industry should accurately reflect the language and intent of the regulation and make it clear that offering free samples of such products is illegal.As a respiratory therapist, tobacco treatment specialist, and mother of 3, I strongly urge the FDA to consider the above to ensure that the law is applied to all tobacco products, not just to cigarettes and smokeless tobacco.",Sale and distribution,Positive,Positive,Positive
FDA-2010-D-0277,FDA-2010-D-0277-0018,"Handing out free tobacco samples has me visualizing the local drug dealer. He gives you a sample of coke or other street drugs, knowing that the free sample will probably bring years of revenue. Of course, he does not mention the heartbreak and health problems which will also follow. What good can possibly come from allowing tobacco sampling to anyone? It has often been said but is also true that tobacco is the one product when used as directed will kill you. If the tobacco industry spent their time, energy and money on something that was actually useful, we would be a much improved society.",free sample,Positive,Negative,Positive
FDA-2010-D-0277,FDA-2010-D-0277-0019,Our Coalition feels strongly that ALL FREE TOBACCO SAMPLES should be restricted. They are all a vehicle to nicotine addiction which is what we are fighting. We are trying to create a tobacco-free atmosphere in our county and free samples will not help us accomplish our mission.,free samples,Positive,Positive,Positive
FDA-2010-D-0277,FDA-2010-D-0277-0022,"I am wrting to ask that you include cigars, little cigars, and pipe tobacco in your regulation banning distribution of samples. All tobacco is harmful and addicting; to exclude any form of it from this regulation will make it easier and more convenient for big tobacco companies to do what they have always done: entrap young adults into addiction, illness, and ultimately death. High-school age youth, especially African Americans, are already attracted to smoking little cigars and are using them in increasing numbers. To give samples away is to help ensure that this attraction continues. Even if youth under the age of 18 cannot be legally targeted, their slightly older friends can be.",samples,Positive,Positive,Negative
FDA-2010-D-0277,FDA-2010-D-0277-0023,Cigars. Little Cigars and Pipe Tobacco ARE tobacco products! Do not exclude these tobacco products from the prohibition against offering free samples as provided in the Family Smoking and Tobacco prevention act.,free samples,Negative,Negative,Negative
FDA-2010-D-0277,FDA-2010-D-0277-0024,"Tobacco of any kind is harmful, including cigars, pipe tobacco and little cigars. They should all be banded from distrubution. You should be on the side of health and children, not the tobacco industry! Thank you.",distribution,Negative,Negative,Negative
FDA-2010-D-0277,FDA-2010-D-0277-0025,Keep tobacco products away from children and teens!,children,Positive,Neutral,Positive
FDA-2010-D-0277,FDA-2010-D-0277-0026,"There is absolutely no valid public health rationale for allowing the free sample distribution of any tobocco or similar unhealthy habit forming product. The only intent of such distribution is to encourage the sale and use of a habit forming item that will undermine individual and public health and cause the unnecessary expenditure of public and private healthcare resources to combat the after effects of use of these products. Cigars, little cigars and pipe tobacco are all tobacco products and they are all associated with increased risk of oral, lung, and other cancers and all produce second hand somke which pollutes the environment and exposes unwilling others to negative health effects.Current regulations clearly prohibit the sampling of these items, and the FDA should not interpret the regulations in any other way. In reality if current regulations did permit such sampling, the FDA should be taking steps to revise regulations to ensure that they do not.As a physician, parent, family member and tax payer, I strongly submit that sampling of any tobacco product should not be permitted.Georgia Schwartz, MD",free sample,Positive,Positive,Positive
FDA-2010-D-0277,FDA-2010-D-0277-0027,Please do not allow this - the stated language is clear and does not leave room for equivocation.,equivocation,Positive,Positive,Neutral
FDA-2010-D-0277,FDA-2010-D-0277-0028,"Public Health Law & Policy (PHLP) and the Tobacco Control Legal Consortium are pleased to submit the attached comments on the FDAâ€™s â€œDraft Guidance for Industry:Compliance With Regulations Restricting the Sale and Distribution of Cigarettes and Smokeless Tobacco To Protect Children and Adolescentsâ€ (â€œDraft Guidanceâ€).We urge you to amend the language in the Draft Guidance that states that cigars, little cigars and pipe tobacco are exempt from sampling restrictions under the Family SmokingPrevention and Tobacco Control Act (Tobacco Control Act). The plain language of the Tobacco Control Act is clear that cigars, little cigars, pipe tobacco, and other â€œtobacco productsâ€ are included in the sampling restrictions. We believe the Draft Guidanceâ€™s statement that they are exempt is contrary to the Tobacco Control Act and its intent, and would create a dangerous loophole in the strict sampling restrictions created by the Tobacco Control Act.Our detailed comments are attached as a PDF document.Thank you for the opportunity to comment. If you have any questions, please feel free to contact us through the information provided in our attached comments.Sincerely,Leslie Zellers, J.D.Director of ProgramsPublic Health Law & PolicyMike Freiberg, J.D.Staff AttorneyThe Public Health Law Center",sampling,Negative,Negative,Negative
FDA-2010-D-0277,FDA-2010-D-0277-0034,"The suggestion to post an employee at the front door of a retail store during business hours in not required under the federal tobacco regulations, and it would be very expensive to hire one or more employee's to be staioned at the door during business hours.We have a sign on our fron door to tell the public that you must be 18 to enter. For safety reasons our door must be unlocked during business hours, it is our experience that minors do not enter our store, because they know they are not allowed. It is our policy to ask for ID when a person who appears under 40 years of age enters our store. We check the ID when they come in, and again, if they make a purchase.We are a responsible retailer that thake the necessary precautions to ensure that minors do not enter our stores. And if they do enter our stores, once we verify they are under age, they are removed from the store immediatley.",age,Neutral,Neutral,Neutral
